Joint 1 Angle,Joint 2 Angle,Joint 3 Angle,Torque 1,Torque 2,Torque 3
-3.141592653589793,-3.141592653589793,-3.141592653589793,-2.854891618578828,-3.2948609702675427,-2.9992921511752626
-3.141592653589793,-3.141592653589793,-2.443460952792061,-3.141639051771665,-3.141707419233623,-2.443507350973933
-3.141592653589793,-3.141592653589793,-1.7453292519943295,-3.141616267247143,-3.1417248686634203,-1.7453528656516797
-3.141592653589793,-3.141592653589793,-1.0471975511965979,-3.1415780182244615,-3.141677912140879,-1.0471829158312662
-3.141592653589793,-3.141592653589793,-0.34906585039886595,-3.141698874509074,-3.1417849136949196,-0.3491720713181466
-3.141592653589793,-3.141592653589793,0.34906585039886595,-3.1420063946075265,-3.1420063975521564,0.3486521093811324
-3.141592653589793,-3.141592653589793,1.0471975511965974,-3.142051244912695,-3.1423726850018086,1.0467389598736956
-3.141592653589793,-3.141592653589793,1.7453292519943293,-3.141807709712319,-3.1426069236565133,1.7451141958718033
-3.141592653589793,-3.141592653589793,2.443460952792061,-3.1413790711268073,-3.1422606361631082,2.443674535255047
-3.141592653589793,-3.141592653589793,3.141592653589793,-3.1404961018530377,-3.1408870276481355,3.1426892053265485
-3.141592653589793,-2.443460952792061,-3.141592653589793,-3.1469263884043075,-2.4466216639965497,-3.1386691545320735
-3.141592653589793,-2.443460952792061,-2.443460952792061,-3.1401308760063116,-2.4419394669188947,-2.44117692684535
-3.141592653589793,-2.443460952792061,-1.7453292519943295,-3.141183697994419,-2.445181207963628,-1.7443147717060117
-3.141592653589793,-2.443460952792061,-1.0471975511965979,-3.143971886737289,-2.4476981481089974,-1.047647731702411
-3.141592653589793,-2.443460952792061,-0.34906585039886595,-3.1465123224105644,-2.448378420586337,-0.3510212928680583
-3.141592653589793,-2.443460952792061,0.34906585039886595,-3.147208090890926,-2.44784677510219,0.34573114427364643
-3.141592653589793,-2.443460952792061,1.0471975511965974,-3.1447050102944702,-2.448254073669148,1.0446147057665174
-3.141592653589793,-2.443460952792061,1.7453292519943293,-3.1436358379318037,-2.4488003689003373,1.7449362121779395
-3.141592653589793,-2.443460952792061,2.443460952792061,-3.1434989326380314,-2.4468641628453747,2.445118296380861
-3.141592653589793,-2.443460952792061,3.141592653589793,-3.1418482352217865,-2.442325186073041,3.1454212565935094
-3.141592653589793,-1.7453292519943295,-3.141592653589793,-3.1324261662411597,-1.7478492529541327,-3.1392617793166306
-3.141592653589793,-1.7453292519943295,-2.443460952792061,-3.141799653190611,-1.745045627294362,-2.441090888289628
-3.141592653589793,-1.7453292519943295,-1.7453292519943295,-3.14324380108478,-1.747819889659977,-1.744321631249433
-3.141592653589793,-1.7453292519943295,-1.0471975511965979,-3.1468839384559812,-1.7506304699977682,-1.0478927633157982
-3.141592653589793,-1.7453292519943295,-0.34906585039886595,-3.1494038168774963,-1.7516220593071192,-0.3512202192468736
-3.141592653589793,-1.7453292519943295,0.34906585039886595,-3.1489074646379565,-1.7509809083021615,0.3460910960983786
-3.141592653589793,-1.7453292519943295,1.0471975511965974,-3.146426221632412,-1.7505456545193327,1.0450087937756596
-3.141592653589793,-1.7453292519943295,1.7453292519943293,-3.1459894977533933,-1.750458073922657,1.7450874366848044
-3.141592653589793,-1.7453292519943295,2.443460952792061,-3.1461452121002536,-1.7490203771004729,2.4451144889772567
